id_anonimo,fecha_respuesta,ciudad,rango_edad,ocupacion,categoria_interes,presupuesto_usd,marca_preferida,canal_preferido,tienda_habitual,frecuencia_compra_anual,importancia_precio
ENC-0086,2026-06-17 15:29,Machala,18-24,Estudiante,Periferico,58.48,Logitech,Tienda fisica,CompuGamer,1-2,4
ENC-0087,2026-06-29 08:29,Santa Elena,35-44,Docente,CPU,627.02,AMD,Online,Computron,3-5,2
ENC-0088,2026-06-30 19:29,Loja,25-34,Estudiante,CPU,581.48,AMD,Ambos,NomadaWare,3-5,1
ENC-0089,2026-06-22 01:29,Guayaquil,45+,Profesional TI,SSD,61.11,Crucial,Ambos,Computron,3-5,5
ENC-0090,2026-06-18 02:29,Machala,35-44,Disenador,RAM,219.88,Corsair,Ambos,Tecnosmart,3-5,1
ENC-0091,2026-06-28 21:29,Loja,35-44,Profesional TI,Monitor,273.24,Samsung,Ambos,NomadaWare,3-5,1
ENC-0092,2026-06-20 15:29,Machala,25-34,Otro,SSD,230.69,Crucial,Online,MTEC,6+,3
ENC-0093,2026-06-19 02:29,Ambato,35-44,Otro,Monitor,652.2,LG,Ambos,MTEC,3-5,4
ENC-0094,2026-06-17 13:29,Loja,45+,Docente,Periferico,175.83,HyperX,Ambos,NomadaWare,3-5,1
ENC-0095,2026-06-28 10:29,Guayaquil,35-44,Disenador,RAM,204.29,TeamGroup,Online,TecnoGame,1-2,3
ENC-0096,2026-06-17 12:29,Loja,35-44,Otro,CPU,370.42,Intel,Online,Tecnosmart,1-2,1
ENC-0097,2026-06-21 21:29,Quito,18-24,Gamer,Periferico,114.85,Razer,Online,Otra,3-5,2
ENC-0098,2026-06-28 04:29,Loja,18-24,Profesional TI,CPU,699.34,Intel,Ambos,CompuGamer,1-2,3
ENC-0099,2026-06-29 16:29,Guayaquil,45+,Gamer,Periferico,50.18,Razer,Tienda fisica,CompuGamer,6+,2
ENC-0100,2026-06-23 20:29,Santa Elena,45+,Otro,CPU,359.3,AMD,Online,MTEC,1-2,2
ENC-0101,2026-06-23 18:29,Manta,35-44,Profesional TI,Periferico,129.96,HyperX,Online,Computron,1-2,4
ENC-0102,2026-06-29 02:29,Quito,35-44,Docente,CPU,332.89,AMD,Online,MTEC,3-5,1
ENC-0103,2026-06-18 00:29,Ambato,25-34,Profesional TI,Monitor,250.59,Samsung,Online,TecnoGame,3-5,1
ENC-0104,2026-06-21 08:29,Cuenca,35-44,Disenador,SSD,84.73,Samsung,Ambos,TecnoGame,1-2,5
ENC-0105,2026-06-16 19:29,Manta,35-44,Disenador,Monitor,320.19,LG,Tienda fisica,Tecnosmart,3-5,4
ENC-0106,2026-06-17 08:29,Machala,45+,Estudiante,Periferico,71.78,Redragon,Tienda fisica,MTEC,3-5,2
ENC-0107,2026-06-30 04:29,Loja,18-24,Profesional TI,CPU,288.83,AMD,Ambos,Computron,1-2,3
ENC-0108,2026-06-17 10:29,Loja,35-44,Docente,RAM,144.77,Kingston,Online,MTEC,6+,5
ENC-0109,2026-06-27 15:29,Ambato,35-44,Profesional TI,SSD,51.51,WD,Ambos,CompuGamer,6+,3
ENC-0110,2026-06-26 22:29,Guayaquil,45+,Disenador,CPU,634.42,AMD,Ambos,TecnoGame,1-2,4
ENC-0111,2026-06-18 00:29,Ambato,18-24,Gamer,SSD,277.58,Samsung,Online,NomadaWare,1-2,2
ENC-0112,2026-06-16 05:29,Santa Elena,35-44,Profesional TI,Periferico,22.1,Redragon,Ambos,Tecnosmart,1-2,5
ENC-0113,2026-06-20 15:29,Loja,25-34,Estudiante,SSD,252.6,Crucial,Tienda fisica,Otra,3-5,2
ENC-0114,2026-06-29 00:29,Machala,35-44,Otro,Monitor,675.39,Samsung,Ambos,Otra,6+,3
ENC-0115,2026-06-20 07:29,Cuenca,25-34,Otro,Periferico,29.66,Razer,Tienda fisica,TecnoGame,3-5,4
ENC-0116,2026-06-30 01:29,Machala,18-24,Otro,RAM,225.97,Corsair,Tienda fisica,Otra,3-5,3
ENC-0117,2026-06-30 18:29,Ambato,45+,Estudiante,SSD,170.44,Samsung,Ambos,CompuGamer,3-5,1
ENC-0118,2026-06-19 12:29,Ambato,25-34,Gamer,GPU,1252.87,Intel,Ambos,MTEC,1-2,3
ENC-0119,2026-06-28 17:29,Quito,25-34,Gamer,RAM,98.47,G.Skill,Tienda fisica,Computron,1-2,4
ENC-0120,2026-06-28 19:29,No especificada,18-24,Estudiante,SSD,217.91,Samsung,Ambos,Computron,6+,3
